sigla,razao_social,nome_fantasia,cnpj,tipo_parceria,porte,segmento,fl_entrega_agendada,dt_inicio_contrato,dt_cancelamento,ativo,otif_contratual,perfil
PTP,Pixel Tech COMÉRCIO E DISTRIBUIÇÃO LTDA,Pixel Tech,51183475000100,CLIENTE,MEDIA,ELETRONICOS,False,2025-07-28,,True,0.90,REGULAR
BEB,Bella Essentials BRASIL LTDA,Bella Essentials,20931304000180,CLIENTE,PEQUENA,ESTETICA_BELEZA,True,2019-05-07,2022-05-02,False,0.90,REGULAR
ALN,Animalis Life LTDA,Animalis Life,50443833000103,CLIENTE,MICRO,SAUDE_ANIMAL,False,2021-07-20,2025-05-22,False,0.90,REGULAR
DNT,Dental Group Lab INDÚSTRIA E COMÉRCIO LTDA,Dental Group Lab,75019788000187,CLIENTE,GRANDE,ODONTOLOGICO,True,2019-08-26,2025-01-05,False,0.98,REGULAR
CRD,Core Devices LTDA,Core Devices,33845513000152,CLIENTE,GRANDE,ELETRONICOS,True,2018-08-23,,True,0.95,REGULAR
PSP,Patas Solutions BRASIL LTDA,Patas Solutions,32335966000176,CLIENTE,MICRO,SAUDE_ANIMAL,False,2017-06-28,2023-12-13,False,0.90,REGULAR
VMV,Voga Moda COMÉRCIO E DISTRIBUIÇÃO LTDA,Voga Moda,97845521000181,CLIENTE,PEQUENA,MODA_ACESSORIOS,True,2023-04-23,,True,0.90,REGULAR
BIB,BelaMesa Indústria S.A.,BelaMesa Indústria,81162175000105,CLIENTE,MEDIA,ALIMENTICIO,True,2018-12-01,,True,0.90,REGULAR
HSH,Huma Solutions BRASIL LTDA,Huma Solutions,95123099000125,CLIENTE,MEDIA,SAUDE_HUMANA,True,2019-08-02,,True,0.90,REGULAR
AGD,Axion Group Digital LTDA,Axion Group Digital,79091581000174,CLIENTE,MEDIA,ELETRONICOS,True,2018-06-22,2025-05-17,False,0.90,REGULAR
NXS,Nexa Sistemas BRASIL LTDA,Nexa Sistemas,60319865000147,CLIENTE,GRANDE,ELETRONICOS,False,2021-09-05,2024-08-04,False,0.95,REGULAR
OCR,Oral Concept INDÚSTRIA E COMÉRCIO LTDA,Oral Concept,32175958000100,CLIENTE,MEDIA,ODONTOLOGICO,True,2019-01-11,2024-08-23,False,0.90,REGULAR
CGC,Clari Group Care BRASIL LTDA,Clari Group Care,22454699000100,CLIENTE,GRANDE,ODONTOLOGICO,False,2025-06-03,,True,0.95,REGULAR
DAD,Douratta Atelier LTDA,Douratta Atelier,20249747000195,CLIENTE,MICRO,JOALHERIA,False,2026-02-13,,True,0.90,REGULAR
CGL,Cura Group Life COMÉRCIO E DISTRIBUIÇÃO LTDA,Cura Group Life,90164385000115,CLIENTE,MEDIA,SAUDE_HUMANA,True,2020-02-11,,True,0.90,REGULAR
TTC,Vitta Collection LTDA,Vitta Collection,83638124000124,CLIENTE,MICRO,MODA_ACESSORIOS,True,2020-08-06,2021-02-09,False,0.90,REGULAR
WFW,Woonka Foods S.A.,Woonka Foods,49916344000134,CLIENTE,MEDIA,ALIMENTICIO,True,2022-03-24,,True,0.90,REGULAR
XNG,Axion Group Sistemas LTDA,Axion Group Sistemas,57343098000105,CLIENTE,MEDIA,ELETRONICOS,True,2016-08-10,2023-12-03,False,0.90,REGULAR
DLD,Dental Lab S.A.,Dental Lab,27715770000177,CLIENTE,GRANDE,ODONTOLOGICO,True,2019-09-05,2025-09-02,False,0.98,REGULAR
NTL,Dente Lab INDÚSTRIA E COMÉRCIO LTDA,Dente Lab,54871473000193,CLIENTE,MEDIA,ODONTOLOGICO,False,2024-01-14,,True,0.90,REGULAR
CCC,CasaNobre Chocolates INDÚSTRIA E COMÉRCIO LTDA,CasaNobre Chocolates,97660176000101,CLIENTE,MEDIA,ALIMENTICIO,True,2020-06-01,,True,0.90,REGULAR
APN,Animalis Pharma S.A.,Animalis Pharma,70350514000152,CLIENTE,PEQUENA,SAUDE_ANIMAL,True,2021-11-03,,True,0.90,REGULAR
NGS,NutriCasa Group Sabores S.A.,NutriCasa Group Sabores,21895248000138,CLIENTE,MICRO,ALIMENTICIO,True,2018-09-14,2025-11-15,False,0.90,REGULAR
OGO,Orbe Group Ouro S.A.,Orbe Group Ouro,51538393000122,CLIENTE,MEDIA,JOALHERIA,True,2023-07-04,2024-07-20,False,0.90,REGULAR
TRD,NaturaDerm Labs INDÚSTRIA E COMÉRCIO LTDA,NaturaDerm Labs,35628899000176,CLIENTE,MEDIA,COSMETICOS_DERMATOLOGICOS,True,2024-11-28,,True,0.90,REGULAR
BBB,Bella Brasil S.A.,Bella Brasil,30253657000121,CLIENTE,GRANDE,ESTETICA_BELEZA,False,2025-11-12,,True,0.95,REGULAR
NDN,NaturaDerm Derm LTDA,NaturaDerm Derm,89315380000167,CLIENTE,PEQUENA,COSMETICOS_DERMATOLOGICOS,True,2022-05-11,,True,0.90,REGULAR
TTM,Vitta Moda INDÚSTRIA E COMÉRCIO LTDA,Vitta Moda,22827802000102,CLIENTE,MICRO,MODA_ACESSORIOS,True,2018-10-16,2025-05-06,False,0.90,REGULAR
LGH,LumiDerma Group Health COMÉRCIO E DISTRIBUIÇÃO LTDA,LumiDerma Group Health,49016844000110,CLIENTE,MEDIA,COSMETICOS_DERMATOLOGICOS,True,2018-02-27,2025-02-13,False,0.90,REGULAR
LNL,Plena Labs BRASIL LTDA,Plena Labs,92117880000107,CLIENTE,PEQUENA,SAUDE_HUMANA,False,2023-03-18,,True,0.90,REGULAR
NTS,Dente Solutions S.A.,Dente Solutions,35005209000122,CLIENTE,MEDIA,ODONTOLOGICO,True,2020-06-18,2025-12-20,False,0.90,REGULAR
LTB,Volt Brasil S.A.,Volt Brasil,39713709000170,CLIENTE,GRANDE,ELETRONICOS,False,2022-01-23,,True,0.95,REGULAR
AAV,Avela Atelier INDÚSTRIA E COMÉRCIO LTDA,Avela Atelier,91534984000146,CLIENTE,GRANDE,MODA_ACESSORIOS,True,2017-06-23,,True,0.95,REGULAR
RMN,PrimeNutri Brasil LTDA,PrimeNutri Brasil,70076227000104,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,True,2018-03-16,2025-04-18,False,0.90,REGULAR
BGL,BioForce Group Labs LTDA,BioForce Group Labs,68011300000100,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,False,2020-09-22,,True,0.90,REGULAR
CGN,Core Group Nutrition INDÚSTRIA E COMÉRCIO LTDA,Core Group Nutrition,26601107000189,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,True,2016-07-06,,True,0.90,REGULAR
LEL,Lumi Estética S.A.,Lumi Estética,61184679000100,CLIENTE,PEQUENA,ESTETICA_BELEZA,True,2019-09-08,2024-09-20,False,0.90,REGULAR
PVP,Patas Vitta S.A.,Patas Vitta,95271709000138,CLIENTE,MEDIA,SAUDE_ANIMAL,False,2017-07-12,2024-02-27,False,0.90,REGULAR
JGA,Joya Group Atelier BRASIL LTDA,Joya Group Atelier,73825213000126,CLIENTE,MEGA,JOALHERIA,True,2019-11-12,2025-04-07,False,0.98,REGULAR
LGC,LumiDerma Group Cosmetics COMÉRCIO E DISTRIBUIÇÃO LTDA,LumiDerma Group Cosmetics,20854027000159,CLIENTE,MEDIA,COSMETICOS_DERMATOLOGICOS,True,2016-11-05,,True,0.90,REGULAR
GFG,GranMio Foods BRASIL LTDA,GranMio Foods,96444898000166,CLIENTE,PEQUENA,ALIMENTICIO,False,2020-11-07,2025-01-05,False,0.90,REGULAR
APL,Alimora Produtos S.A.,Alimora Produtos,70012957000133,CLIENTE,GRANDE,ALIMENTICIO,True,2018-12-01,2025-12-18,False,0.98,REGULAR
ASN,Animalis Solutions COMÉRCIO E DISTRIBUIÇÃO LTDA,Animalis Solutions,54224047000168,CLIENTE,PEQUENA,SAUDE_ANIMAL,False,2017-09-28,2023-02-02,False,0.90,REGULAR
BTG,Orbit Group Connect LTDA,Orbit Group Connect,49456688000108,CLIENTE,GRANDE,ELETRONICOS,True,2025-06-05,,True,0.95,REGULAR
WCW,Woonka Chocolates S.A.,Woonka Chocolates,51650432000189,CLIENTE,MICRO,ALIMENTICIO,False,2020-05-23,,True,0.90,REGULAR
PWR,Power Nutrition BRASIL LTDA,Power Nutrition,52803206000153,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,True,2018-09-21,2025-06-09,False,0.90,REGULAR
CGM,Clin Group Medical LTDA,Clin Group Medical,64513798000158,CLIENTE,MICRO,SAUDE_HUMANA,True,2026-01-07,,True,0.90,REGULAR
EGN,Evo Group Nutrition S.A.,Evo Group Nutrition,72145745000150,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,False,2021-05-21,,True,0.90,REGULAR
NGL,NaturaDerm Group Labs INDÚSTRIA E COMÉRCIO LTDA,NaturaDerm Group Labs,18968000000145,CLIENTE,MICRO,COSMETICOS_DERMATOLOGICOS,True,2025-07-12,,True,0.90,REGULAR
PGC,Prisma Group Concept LTDA,Prisma Group Concept,55576831000106,CLIENTE,MEGA,ODONTOLOGICO,True,2023-04-06,2024-06-03,False,0.97,REGULAR
