tabela,coluna,antes,depois,ocorrencias,motivo
endereco,logradouro,"R. Projetada, 1126","Rua Projetada, 1126",2,abreviação expandida
endereco,logradouro,"R. Projetada, 1128","Rua Projetada, 1128",2,abreviação expandida
endereco,logradouro,"R. Projetada, 1147","Rua Projetada, 1147",2,abreviação expandida
endereco,logradouro,"R. Projetada, 1150","Rua Projetada, 1150",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3822","Rua Brasil, 3822",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3823","Rua Brasil, 3823",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3836","Rua Brasil, 3836",2,abreviação expandida
endereco,logradouro,"R. Brasil, 386","Rua Brasil, 386",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3861","Rua Brasil, 3861",2,abreviação expandida
endereco,logradouro,"R. Projetada, 1195","Rua Projetada, 1195",2,abreviação expandida
endereco,logradouro,"R. Projetada, 1212","Rua Projetada, 1212",2,abreviação expandida
endereco,logradouro,"R. Projetada, 1264","Rua Projetada, 1264",2,abreviação expandida
endereco,logradouro,"R. Projetada, 1303","Rua Projetada, 1303",2,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 514","Rua Xv de Novembro, 514",2,caixa corrigida
endereco,logradouro,"R. Brasil, 3937","Rua Brasil, 3937",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3947","Rua Brasil, 3947",2,abreviação expandida
endereco,logradouro,"R. PROJETADA, 584","Rua Projetada, 584",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 733","Rua Projetada, 733",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 825","Rua Projetada, 825",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 842","Rua Projetada, 842",2,caixa alta corrigida
endereco,logradouro,"R. Projetada, 1051","Rua Projetada, 1051",2,abreviação expandida
endereco,logradouro,"R. Projetada, 1067","Rua Projetada, 1067",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3871","Rua Brasil, 3871",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3876","Rua Brasil, 3876",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3880","Rua Brasil, 3880",2,abreviação expandida
endereco,logradouro,"R. Brasil, 39","Rua Brasil, 39",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3907","Rua Brasil, 3907",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3910","Rua Brasil, 3910",2,abreviação expandida
endereco,logradouro,"R. Projetada, 109","Rua Projetada, 109",2,abreviação expandida
endereco,logradouro,"R. Projetada, 1094","Rua Projetada, 1094",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3964","Rua Brasil, 3964",2,abreviação expandida
endereco,logradouro,"R. Brasil, 3970","Rua Brasil, 3970",2,abreviação expandida
endereco,logradouro,"R. PROJETADA, 2357","Rua Projetada, 2357",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 2397","Rua Projetada, 2397",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 2453","Rua Projetada, 2453",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 2601","Rua Projetada, 2601",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 3406","Rua Projetada, 3406",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 3883","Rua Projetada, 3883",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 4266","Rua Projetada, 4266",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 435","Rua Projetada, 435",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 4380","Rua Projetada, 4380",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 4554","Rua Projetada, 4554",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 4625","Rua Projetada, 4625",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 4696","Rua Projetada, 4696",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 4795","Rua Projetada, 4795",2,caixa alta corrigida
endereco,logradouro,"R. Brasil, 3925","Rua Brasil, 3925",2,abreviação expandida
endereco,logradouro,"R. DAS FLORES, 2995","Rua das Flores, 2995",2,caixa alta corrigida
endereco,logradouro,"R. Brasil, 4004","Rua Brasil, 4004",2,abreviação expandida
endereco,logradouro,"R. DAS FLORES, 3265","Rua das Flores, 3265",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 3377","Rua das Flores, 3377",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 3812","Rua das Flores, 3812",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 3997","Rua das Flores, 3997",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 4769","Rua das Flores, 4769",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 4865","Rua das Flores, 4865",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 543","Rua das Flores, 543",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 775","Rua das Flores, 775",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 1254","Rua Projetada, 1254",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 1306","Rua Projetada, 1306",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 1412","Rua Projetada, 1412",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 1472","Rua Projetada, 1472",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 1745","Rua Projetada, 1745",2,caixa alta corrigida
endereco,logradouro,"R. PROJETADA, 1775","Rua Projetada, 1775",2,caixa alta corrigida
endereco,logradouro,"R. Brasil, 920","Rua Brasil, 920",2,abreviação expandida
endereco,logradouro,"R. Brasil, 931","Rua Brasil, 931",2,abreviação expandida
endereco,logradouro,"R. Brasil, 938","Rua Brasil, 938",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4034","Rua Brasil, 4034",2,abreviação expandida
endereco,logradouro,"R. Brasil, 405","Rua Brasil, 405",2,abreviação expandida
endereco,logradouro,"R. Brasil, 943","Rua Brasil, 943",2,abreviação expandida
endereco,logradouro,"R. Brasil, 956","Rua Brasil, 956",2,abreviação expandida
endereco,logradouro,"R. Brasil, 987","Rua Brasil, 987",2,abreviação expandida
endereco,logradouro,"R. DAS FLORES, 1346","Rua das Flores, 1346",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 1903","Rua das Flores, 1903",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 2040","Rua das Flores, 2040",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 2472","Rua das Flores, 2472",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 2572","Rua das Flores, 2572",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 2613","Rua das Flores, 2613",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 2731","Rua das Flores, 2731",2,caixa alta corrigida
endereco,logradouro,"R. DAS FLORES, 2869","Rua das Flores, 2869",2,caixa alta corrigida
endereco,logradouro,"R. Brasil, 69","Rua Brasil, 69",2,abreviação expandida
endereco,logradouro,"R. Brasil, 705","Rua Brasil, 705",2,abreviação expandida
endereco,logradouro,"R. Brasil, 707","Rua Brasil, 707",2,abreviação expandida
endereco,logradouro,"R. Brasil, 726","Rua Brasil, 726",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4092","Rua Brasil, 4092",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4094","Rua Brasil, 4094",2,abreviação expandida
endereco,logradouro,"R. Brasil, 733","Rua Brasil, 733",2,abreviação expandida
endereco,logradouro,"R. Brasil, 779","Rua Brasil, 779",2,abreviação expandida
endereco,logradouro,"R. Brasil, 809","Rua Brasil, 809",2,abreviação expandida
endereco,logradouro,"R. Brasil, 81","Rua Brasil, 81",2,abreviação expandida
endereco,logradouro,"R. Brasil, 819","Rua Brasil, 819",2,abreviação expandida
endereco,logradouro,"R. Brasil, 851","Rua Brasil, 851",2,abreviação expandida
endereco,logradouro,"R. Brasil, 860","Rua Brasil, 860",2,abreviação expandida
endereco,logradouro,"R. Brasil, 861","Rua Brasil, 861",2,abreviação expandida
endereco,logradouro,"R. Brasil, 886","Rua Brasil, 886",2,abreviação expandida
endereco,logradouro,"R. Brasil, 895","Rua Brasil, 895",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4871","Rua Brasil, 4871",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4873","Rua Brasil, 4873",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4905","Rua Brasil, 4905",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4937","Rua Brasil, 4937",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4134","Rua Brasil, 4134",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4147","Rua Brasil, 4147",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4151","Rua Brasil, 4151",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4962","Rua Brasil, 4962",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4970","Rua Brasil, 4970",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4990","Rua Brasil, 4990",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4993","Rua Brasil, 4993",2,abreviação expandida
endereco,logradouro,"R. Brasil, 514","Rua Brasil, 514",2,abreviação expandida
endereco,logradouro,"R. Brasil, 555","Rua Brasil, 555",2,abreviação expandida
endereco,logradouro,"R. Brasil, 599","Rua Brasil, 599",2,abreviação expandida
endereco,logradouro,"R. Brasil, 636","Rua Brasil, 636",2,abreviação expandida
endereco,logradouro,"R. Brasil, 672","Rua Brasil, 672",2,abreviação expandida
endereco,logradouro,"R. Brasil, 475","Rua Brasil, 475",2,abreviação expandida
endereco,logradouro,"R. Brasil, 476","Rua Brasil, 476",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4769","Rua Brasil, 4769",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4770","Rua Brasil, 4770",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4783","Rua Brasil, 4783",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4784","Rua Brasil, 4784",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4188","Rua Brasil, 4188",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4195","Rua Brasil, 4195",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4826","Rua Brasil, 4826",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4833","Rua Brasil, 4833",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4835","Rua Brasil, 4835",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4838","Rua Brasil, 4838",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4841","Rua Brasil, 4841",2,abreviação expandida
endereco,logradouro,"R. Brasil, 486","Rua Brasil, 486",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4866","Rua Brasil, 4866",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4869","Rua Brasil, 4869",2,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 685","Rua Xv de Novembro, 685",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 690","Rua Xv de Novembro, 690",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 695","Rua Xv de Novembro, 695",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 724","Rua Xv de Novembro, 724",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 747","Rua Xv de Novembro, 747",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 766","Rua Xv de Novembro, 766",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 777","Rua Xv de Novembro, 777",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 789","Rua Xv de Novembro, 789",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 791","Rua Xv de Novembro, 791",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 792","Rua Xv de Novembro, 792",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 800","Rua Xv de Novembro, 800",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 803","Rua Xv de Novembro, 803",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 810","Rua Xv de Novembro, 810",2,caixa corrigida
endereco,logradouro,"R. Brasil, 4697","Rua Brasil, 4697",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4701","Rua Brasil, 4701",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4714","Rua Brasil, 4714",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4462","Rua Brasil, 4462",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4470","Rua Brasil, 4470",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4488","Rua Brasil, 4488",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4490","Rua Brasil, 4490",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4493","Rua Brasil, 4493",2,abreviação expandida
endereco,logradouro,"R. Brasil, 456","Rua Brasil, 456",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4560","Rua Brasil, 4560",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4599","Rua Brasil, 4599",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4629","Rua Brasil, 4629",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4206","Rua Brasil, 4206",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4212","Rua Brasil, 4212",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4230","Rua Brasil, 4230",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4682","Rua Brasil, 4682",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4686","Rua Brasil, 4686",2,abreviação expandida
endereco,logradouro,"R. Brasil, 4696","Rua Brasil, 4696",2,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 681","Rua Xv de Novembro, 681",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2880","Rua Xv de Novembro, 2880",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 966","Rua Xv de Novembro, 966",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 972","Rua Xv de Novembro, 972",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 840","Rua Xv de Novembro, 840",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 847","Rua Xv de Novembro, 847",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 848","Rua Xv de Novembro, 848",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 854","Rua Xv de Novembro, 854",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 869","Rua Xv de Novembro, 869",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 880","Rua Xv de Novembro, 880",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 883","Rua Xv de Novembro, 883",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 884","Rua Xv de Novembro, 884",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 886","Rua Xv de Novembro, 886",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 912","Rua Xv de Novembro, 912",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 918","Rua Xv de Novembro, 918",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 920","Rua Xv de Novembro, 920",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 924","Rua Xv de Novembro, 924",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2936","Rua Xv de Novembro, 2936",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2938","Rua Xv de Novembro, 2938",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2939","Rua Xv de Novembro, 2939",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2945","Rua Xv de Novembro, 2945",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2995","Rua Xv de Novembro, 2995",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2997","Rua Xv de Novembro, 2997",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 3005","Rua Xv de Novembro, 3005",2,caixa corrigida
endereco,logradouro,"R. BRASIL, 2226","Rua Brasil, 2226",2,caixa alta corrigida
endereco,logradouro,"Rua XV de Novembro, 304","Rua Xv de Novembro, 304",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 3079","Rua Xv de Novembro, 3079",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2793","Rua Xv de Novembro, 2793",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2795","Rua Xv de Novembro, 2795",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2798","Rua Xv de Novembro, 2798",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 282","Rua Xv de Novembro, 282",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2824","Rua Xv de Novembro, 2824",2,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2877","Rua Xv de Novembro, 2877",2,caixa corrigida
endereco,cidade,Sao Bernardo do Campo,São Bernardo do Campo,1,acento restaurado
endereco,logradouro,"R. Brasil, 4286","Rua Brasil, 4286",1,abreviação expandida
endereco,logradouro,"R. Brasil, 429","Rua Brasil, 429",1,abreviação expandida
endereco,nome_local,Sede NutriCasa Group Sabores,Sede Nutricasa Group Sabores,1,caixa corrigida
endereco,nome_local,Sede NutriCasa Brasil,Sede Nutricasa Brasil,1,caixa corrigida
endereco,nome_local,Sede NaturaDerm Labs,Sede Naturaderm Labs,1,caixa corrigida
endereco,nome_local,Sede NaturaDerm Group Labs,Sede Naturaderm Group Labs,1,caixa corrigida
endereco,nome_local,Sede NaturaDerm Group Care,Sede Naturaderm Group Care,1,caixa corrigida
endereco,nome_local,Sede NaturaDerm Derm,Sede Naturaderm Derm,1,caixa corrigida
endereco,nome_local,Sede MundoVet Solutions,Sede Mundovet Solutions,1,caixa corrigida
endereco,nome_local,Sede MundoVet Life,Sede Mundovet Life,1,caixa corrigida
endereco,nome_local,Sede MaxFit Performance,Sede Maxfit Performance,1,caixa corrigida
endereco,nome_local,Sede LumiDerma Group Health,Sede Lumiderma Group Health,1,caixa corrigida
endereco,nome_local,Sede LumiDerma Group Cosmetics,Sede Lumiderma Group Cosmetics,1,caixa corrigida
endereco,nome_local,Sede LumiDerma Derm,Sede Lumiderma Derm,1,caixa corrigida
endereco,nome_local,Sede LumiDerma Cosmetics,Sede Lumiderma Cosmetics,1,caixa corrigida
endereco,nome_local,Sede GranMio Produtos,Sede Granmio Produtos,1,caixa corrigida
endereco,nome_local,Sede GranMio Foods,Sede Granmio Foods,1,caixa corrigida
endereco,logradouro,AV. BRASIL 2652,Avenida Brasil 2652,1,caixa alta corrigida
endereco,logradouro,"R. Brasil, 4388","Rua Brasil, 4388",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4386","Rua Brasil, 4386",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4385","Rua Brasil, 4385",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4380","Rua Brasil, 4380",1,abreviação expandida
endereco,logradouro,"R. Brasil, 438","Rua Brasil, 438",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4378","Rua Brasil, 4378",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4373","Rua Brasil, 4373",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4371","Rua Brasil, 4371",1,abreviação expandida
endereco,logradouro,"R. Brasil, 437","Rua Brasil, 437",1,abreviação expandida
endereco,logradouro,"R. Brasil, 436","Rua Brasil, 436",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4356","Rua Brasil, 4356",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4354","Rua Brasil, 4354",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4349","Rua Brasil, 4349",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4348","Rua Brasil, 4348",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4343","Rua Brasil, 4343",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4342","Rua Brasil, 4342",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4273","Rua Brasil, 4273",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4271","Rua Brasil, 4271",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4269","Rua Brasil, 4269",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4262","Rua Brasil, 4262",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4260","Rua Brasil, 4260",1,abreviação expandida
endereco,logradouro,"R. Brasil, 426","Rua Brasil, 426",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4259","Rua Brasil, 4259",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4257","Rua Brasil, 4257",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4255","Rua Brasil, 4255",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4252","Rua Brasil, 4252",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4249","Rua Brasil, 4249",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4407","Rua Brasil, 4407",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4405","Rua Brasil, 4405",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4404","Rua Brasil, 4404",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4397","Rua Brasil, 4397",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4390","Rua Brasil, 4390",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4455","Rua Brasil, 4455",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4452","Rua Brasil, 4452",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4443","Rua Brasil, 4443",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4439","Rua Brasil, 4439",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4427","Rua Brasil, 4427",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4420","Rua Brasil, 4420",1,abreviação expandida
endereco,logradouro,"R. Brasil, 442","Rua Brasil, 442",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4419","Rua Brasil, 4419",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4418","Rua Brasil, 4418",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4416","Rua Brasil, 4416",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4415","Rua Brasil, 4415",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4411","Rua Brasil, 4411",1,abreviação expandida
endereco,logradouro,"R. Brasil, 441","Rua Brasil, 441",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4285","Rua Brasil, 4285",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4282","Rua Brasil, 4282",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4280","Rua Brasil, 4280",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4506","Rua Brasil, 4506",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4505","Rua Brasil, 4505",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4504","Rua Brasil, 4504",1,abreviação expandida
endereco,logradouro,"R. Brasil, 450","Rua Brasil, 450",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4499","Rua Brasil, 4499",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4497","Rua Brasil, 4497",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4494","Rua Brasil, 4494",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4491","Rua Brasil, 4491",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4487","Rua Brasil, 4487",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4483","Rua Brasil, 4483",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4482","Rua Brasil, 4482",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4472","Rua Brasil, 4472",1,abreviação expandida
endereco,logradouro,"R. Brasil, 447","Rua Brasil, 447",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4467","Rua Brasil, 4467",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4460","Rua Brasil, 4460",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4457","Rua Brasil, 4457",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4553","Rua Brasil, 4553",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4547","Rua Brasil, 4547",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4546","Rua Brasil, 4546",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4544","Rua Brasil, 4544",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4543","Rua Brasil, 4543",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4539","Rua Brasil, 4539",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4538","Rua Brasil, 4538",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4533","Rua Brasil, 4533",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4528","Rua Brasil, 4528",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4522","Rua Brasil, 4522",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4521","Rua Brasil, 4521",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4518","Rua Brasil, 4518",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4514","Rua Brasil, 4514",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4511","Rua Brasil, 4511",1,abreviação expandida
endereco,logradouro,"R. Brasil, 451","Rua Brasil, 451",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4509","Rua Brasil, 4509",1,abreviação expandida
endereco,logradouro,"R. Brasil, 461","Rua Brasil, 461",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4608","Rua Brasil, 4608",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4601","Rua Brasil, 4601",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4600","Rua Brasil, 4600",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4597","Rua Brasil, 4597",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4596","Rua Brasil, 4596",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4592","Rua Brasil, 4592",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4588","Rua Brasil, 4588",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4587","Rua Brasil, 4587",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4581","Rua Brasil, 4581",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4580","Rua Brasil, 4580",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4572","Rua Brasil, 4572",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4562","Rua Brasil, 4562",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4559","Rua Brasil, 4559",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4557","Rua Brasil, 4557",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4556","Rua Brasil, 4556",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4236","Rua Brasil, 4236",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4235","Rua Brasil, 4235",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4234","Rua Brasil, 4234",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4233","Rua Brasil, 4233",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4222","Rua Brasil, 4222",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4221","Rua Brasil, 4221",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4220","Rua Brasil, 4220",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4217","Rua Brasil, 4217",1,abreviação expandida
endereco,logradouro,"R. Brasil, 4214","Rua Brasil, 4214",1,abreviação expandida
